SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1230 E 82nd St #81,Brooklyn,NY,11236,158000,1,1,Brook Club,432,,1986,39,366,175,Active,,,http://www.redfin.com/NY/Brooklyn/1230-E-82nd-St-11236/unit-81/home/40888173,MLSLI,3183433,N,Y,40.6306675,-73.9059449
MLS Listing,,Condo/Co-op,144-60 Gravett Rd Unit 2B,Flushing,NY,11367,158888,1,1,Mainstay,750,,1950,40,212,,Active,,,http://www.redfin.com/NY/Flushing/144-60-Gravett-Rd-11367/unit-2B/home/63514423,MLSLI,3183355,N,Y,40.7352898,-73.8224991
MLS Listing,,Condo/Co-op,3065 Sedgwick Ave Unit 4H,Bronx,NY,10468,150000,1,1,Bronx,650,,1960,41,231,,Active,,,http://www.redfin.com/NY/The-Bronx/3065-Sedgwick-Ave-10468/unit-4H/home/44800951,HGMLS,5122915,N,Y,40.8766081,-73.8998497
MLS Listing,,Condo/Co-op,Unit at 2 E 55th St,New York,NY,10022,135000,0,1,Middle West Side,,,,41,,,Active,,,http://www.redfin.com/NY/New-York/2-E-55th-St-10022/home/114467622,REBNY,DEGI4036163,N,Y,40.7613979,-73.9746128
MLS Listing,,Condo/Co-op,353 W 56th St Unit 3J,New York,NY,10019,169900,0,1,New York,582,,1929,42,292,743,Active,,,http://www.redfin.com/NY/New-York/353-W-56th-St-10019/unit-3J/home/45262793,HGMLS,5122775,N,Y,40.767207,-73.985702
MLS Listing,,Condo/Co-op,5601 Riverdale Ave Unit 4K,Bronx,NY,10471,164999,1,1,Bronx,850,,1954,43,194,,Active,,,http://www.redfin.com/NY/The-Bronx/5601-Riverdale-Ave-10471/unit-4K/home/53615731,HGMLS,5122577,N,Y,40.9048823,-73.9051113
MLS Listing,,Condo/Co-op,Unit at 3875 Waldo Ave,Bronx,NY,10463,175000,1,1,Riverdale,,,,46,,,Active,,,http://www.redfin.com/NY/The-Bronx/3875-Waldo-Ave-10463/home/169932649,REBNY,BACH19970088,N,Y,40.8890553,-73.9033819
MLS Listing,,Condo/Co-op,Unit at 2 E 55th St,New York,NY,10022,174000,1,2,Middle West Side,,,,47,,,Active,,,http://www.redfin.com/NY/New-York/2-E-55th-St-10022/home/115826158,REBNY,DEGI4030095,N,Y,40.7613979,-73.9746128
MLS Listing,,Condo/Co-op,61 Bronx River Rd Unit 2 I,Yonkers,NY,10704,75000,0,1,Yonkers,475,,1920,47,158,,Active,,,http://www.redfin.com/NY/Yonkers/61-Bronx-River-Rd-10704/unit-2I/home/25722093,HGMLS,5121120,N,Y,40.9029789,-73.8602666
MLS Listing,,Condo/Co-op,601 Kappock St Unit 6F,Bronx,NY,10463,175000,1,1,Riverdale,800,,1963,47,219,,Active,January-12-2020 01:30 PM,January-12-2020 02:30 PM,http://www.redfin.com/NY/The-Bronx/601-Kappock-St-10463/unit-6F/home/169918453,HGMLS,5121234,N,Y,40.8790063,-73.9161022
