PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric,Total_Num_ofComplaints,PCT,Total_crimes,Level_A_SchoolCount,Level_B_SchoolCount,Level_C_SchoolCount,Level_D_SchoolCount,Level_F_SchoolCount,Total_Number_of_Schools,Num_Complaints_schools,Population,People/Sq_Mile,Total_Num_ofHospitals,Total_Num_of_Subways,min_dist_station,Num_of_Retail_stores,min_dist_retail_store,Num_of_Retail_stores_Zipcode
Condo/Co-op,REGO PARK,NY,11374,288000.0,1.0,1.0,Park City 3&4,943.4822134387352,1954.0,http://www.redfin.com/NY/Flushing/9740-62nd-Dr-11374/unit-3C/home/169408404,40.732268499999996,-73.859883,67.0,635,17389,112,768,44,35,15,1,1,96,415.0,44189.0,48499.11,22,16,0.1901515257967254,16,0.10764393026131228,3.0
Condo/Co-op,REGO PARK,NY,11374,299000.0,1.0,1.0,The Howard,700.0,1952.0,http://www.redfin.com/NY/Rego-Park/9952-66th-Rd-11374/unit-5R/home/20643100,40.727641299999995,-73.85456140000002,69.0,635,14143,112,768,45,35,20,1,1,102,444.0,44189.0,48499.11,20,13,0.12363707186980481,19,0.3692342246174817,3.0
Condo/Co-op,REGO PARK,NY,11374,299950.0,2.0,1.0,65-15 Alderton Street,1002.4694280078895,1964.0,http://www.redfin.com/NY/Flushing/65-15-Alderton-St-11374/unit-6D/home/166753193,40.720847,-73.858929,57.0,635,11740,112,768,44,35,21,1,1,102,422.0,44189.0,48499.11,21,12,0.5096105324580515,17,0.18771008801777103,3.0
Condo/Co-op,REGO PARK,NY,11374,299000.0,1.0,1.0,Park City 3 & 4,700.0,1955.0,http://www.redfin.com/NY/Unknown/98-20-62nd-Dr-11374/unit-8m/home/148034519,40.7329076,-73.85854549999998,66.0,635,17453,112,768,44,33,15,1,1,94,407.0,44189.0,48499.11,20,16,0.26539570869985857,15,0.05220004895963769,3.0
Condo/Co-op,REGO PARK,NY,11374,282000.0,1.0,1.0,Park City 3 & 4,943.4822134387352,1960.0,http://www.redfin.com/NY/Flushing/9707-63rd-Rd-11374/unit-1F/home/40030913,40.7315938,-73.86060570000002,61.0,635,17238,112,768,43,33,15,1,1,93,409.0,44189.0,48499.11,22,16,0.1316289834852997,16,0.15500090733495694,3.0
Condo/Co-op,REGO PARK,NY,11374,289000.0,1.0,1.0,Park City 3&4 Apts,943.4822134387352,1954.0,http://www.redfin.com/NY/Rego-Park/97-10-62nd-Dr-11374/unit-1C/home/168735062,40.732411299999995,-73.8613203,67.0,635,17562,112,768,43,32,15,1,1,92,406.0,44189.0,48499.11,22,15,0.17792220128018077,18,0.18258570427424636,3.0
Condo/Co-op,REGO PARK,NY,11374,290000.0,1.0,1.0,65-38 Owners Corp,943.4822134387352,1950.0,http://www.redfin.com/NY/Flushing/65-38-Booth-St-11374/unit-4H/home/20635540,40.726787,-73.858789,71.0,635,14300,112,768,45,37,16,1,1,100,410.0,44189.0,48499.11,21,14,0.25775534528483535,21,0.26778366181259905,3.0
Condo/Co-op,REGO PARK,NY,11374,309000.0,1.0,1.0,Rhode Island,943.4822134387352,1962.0,http://www.redfin.com/NY/Flushing/63-61-99th-St-11374/unit-B3/home/170126885,40.7314126,-73.85610329999999,59.0,635,15797,112,768,44,33,15,1,1,94,407.0,44189.0,48499.11,19,14,0.3077704591264828,17,0.11240239057060387,3.0
Condo/Co-op,REGO PARK,NY,11374,310000.0,1.0,1.0,Park City 3&4,750.0,1960.0,http://www.redfin.com/NY/Rego-Park/98-20-62nd-Dr-11374/unit-12F/home/148369701,40.7329076,-73.85854549999998,61.0,635,17453,112,768,44,33,15,1,1,94,407.0,44189.0,48499.11,20,16,0.26539570869985857,15,0.05220004895963769,3.0
Condo/Co-op,REGO PARK,NY,11374,319000.0,2.0,1.0,Park City Estates,700.0,1960.0,http://www.redfin.com/NY/Rego-Park/61-35-98th-St-11374/unit-14M/home/20659486,40.734302899999996,-73.85911779999998,61.0,635,17915,112,768,45,30,14,1,1,91,394.0,44189.0,48499.11,22,15,0.3344286199968074,18,0.1488714267617689,3.0
Condo/Co-op,REGO PARK,NY,11374,319000.0,1.0,1.0,Park City Estate,943.4822134387352,1960.0,http://www.redfin.com/NY/Rego-Park/61-35-98th-St-11374/unit-9B/home/148549115,40.734302899999996,-73.85911779999998,61.0,635,17915,112,768,45,30,14,1,1,91,394.0,44189.0,48499.11,22,15,0.3344286199968074,18,0.1488714267617689,3.0
Condo/Co-op,REGO PARK,NY,11374,320000.0,0.0,1.0,Austin Tower,381.0,1987.0,http://www.redfin.com/NY/Rego-Park/87-30-62nd-Ave-11374/unit-4A/home/20894804,40.728452399999995,-73.8683238,34.0,635,17202,112,768,43,31,15,1,1,91,368.0,44189.0,48499.11,24,16,0.3251088363092659,18,0.24926778760000978,3.0
Condo/Co-op,REGO PARK,NY,11374,315000.0,1.0,1.0,Rhode Island,943.4822134387352,1940.0,http://www.redfin.com/NY/Flushing/63-61-99th-St-11374/home/20914794,40.7314126,-73.85610329999999,81.0,635,15797,112,768,44,33,15,1,1,94,407.0,44189.0,48499.11,19,14,0.3077704591264828,17,0.11240239057060387,3.0
Condo/Co-op,REGO PARK,NY,11374,322000.0,1.0,1.0,Park City Estates Corp.,700.0,1960.0,http://www.redfin.com/NY/Rego-Park/61-35-98th-St-11374/unit-9F/home/168968302,40.734302899999996,-73.85911779999998,61.0,635,17915,112,768,45,30,14,1,1,91,394.0,44189.0,48499.11,22,15,0.3344286199968074,18,0.1488714267617689,3.0
Condo/Co-op,REGO PARK,NY,11374,319000.0,1.0,1.0,65-38 Owners Corporate,980.0,1938.0,http://www.redfin.com/NY/Flushing/65-38-Booth-St-11374/unit-5F/home/20643762,40.726787,-73.858789,83.0,635,14300,112,768,45,37,16,1,1,100,410.0,44189.0,48499.11,21,14,0.25775534528483535,21,0.26778366181259905,3.0
Condo/Co-op,REGO PARK,NY,11374,308000.0,1.0,1.0,Walden Terrace,700.0,1949.0,http://www.redfin.com/NY/Rego-Park/98-33-64th-Ave-11374/unit-8D/home/167939497,40.7307775,-73.85725079999997,72.0,635,15726,112,768,44,34,15,1,1,95,413.0,44189.0,48499.11,20,14,0.23691251851674894,19,0.11474152650295957,3.0
Condo/Co-op,REGO PARK,NY,11374,305000.0,1.0,1.0,The Arbor,900.0,1939.0,http://www.redfin.com/NY/Rego-Park/65-41-Booth-St-11374/unit-1J/home/164366538,40.7272003,-73.8584923,82.0,635,14363,112,768,45,36,16,1,1,99,404.0,44189.0,48499.11,20,14,0.24494661269781443,21,0.2741129111302239,3.0
Condo/Co-op,REGO PARK,NY,11374,325000.0,1.0,1.0,Rego Park,820.0,1963.0,http://www.redfin.com/NY/Rego-Park/66-01-Burns-St-11374/unit-3v/home/170104799,40.7241051,-73.8581707,58.0,635,12953,112,768,45,37,17,1,1,101,416.0,44189.0,48499.11,21,13,0.3308576274383773,19,0.27650228878236105,3.0
Condo/Co-op,REGO PARK,NY,11374,350000.0,1.0,1.0,Park City 3 & 4,750.0,1960.0,http://www.redfin.com/NY/Rego-Park/97-37-63rd-Rd-11374/unit-14/home/170232545,40.7318958,-73.8599645,61.0,635,17259,112,768,44,35,15,1,1,96,415.0,44189.0,48499.11,22,16,0.16566274938955589,15,0.116532157894902,3.0
